,Subject,Year,Female Proportion (%)
0,AGRI,1950-1960,21.57
1,AGRI,1960-1970,11.65
2,AGRI,1970-1980,16.1
3,AGRI,1980-1990,18
4,AGRI,1990-2000,19.45
5,AGRI,2000-2010,19.28
6,AGRI,2010-2020,19.48
7,AGRI,2020-2030,5.56
8,CHEM,1950-1960,20
9,CHEM,1960-1970,23.81
10,CHEM,1970-1980,21.11
11,CHEM,1980-1990,21.81
12,CHEM,1990-2000,17.24
13,CHEM,2000-2010,17.72
14,CHEM,2010-2020,19.58
15,CHEM,2020-2030,17.02
16,IMMU,1950-1960,0
17,IMMU,1960-1970,9.09
18,IMMU,1970-1980,10
19,IMMU,1980-1990,15.79
20,IMMU,1990-2000,12.69
21,IMMU,2000-2010,21.7
22,IMMU,2010-2020,18.03
23,IMMU,2020-2030,
24,MEDI,1950-1960,19.05
25,MEDI,1960-1970,16.92
26,MEDI,1970-1980,17.85
27,MEDI,1980-1990,20.94
28,MEDI,1990-2000,19.19
29,MEDI,2000-2010,19.55
30,MEDI,2010-2020,19.39
31,MEDI,2020-2030,
32,DENT,1950-1960,
33,DENT,1960-1970,
34,DENT,1970-1980,0
35,DENT,1980-1990,
36,DENT,1990-2000,30.77
37,DENT,2000-2010,23.21
38,DENT,2010-2020,19.8
39,DENT,2020-2030,
40,MATH,1950-1960,0
41,MATH,1960-1970,60
42,MATH,1970-1980,18.18
43,MATH,1980-1990,16.67
44,MATH,1990-2000,17.24
45,MATH,2000-2010,17.93
46,MATH,2010-2020,18.96
47,MATH,2020-2030,28.57
48,ENGI,1950-1960,0
49,ENGI,1960-1970,14.29
50,ENGI,1970-1980,11.11
51,ENGI,1980-1990,24.75
52,ENGI,1990-2000,17.8
53,ENGI,2000-2010,17.86
54,ENGI,2010-2020,19.56
55,ENGI,2020-2030,20
56,BIOC,1950-1960,12.5
57,BIOC,1960-1970,18.92
58,BIOC,1970-1980,12.5
59,BIOC,1980-1990,16.13
60,BIOC,1990-2000,22.15
61,BIOC,2000-2010,20.31
62,BIOC,2010-2020,19.55
63,BIOC,2020-2030,100
64,ARTS,1950-1960,37.5
65,ARTS,1960-1970,50
66,ARTS,1970-1980,28.57
67,ARTS,1980-1990,13.79
68,ARTS,1990-2000,28.79
69,ARTS,2000-2010,21.98
70,ARTS,2010-2020,19.36
71,ARTS,2020-2030,
72,COMP,1950-1960,0
73,COMP,1960-1970,
74,COMP,1970-1980,0
75,COMP,1980-1990,16.67
76,COMP,1990-2000,13.79
77,COMP,2000-2010,20.35
78,COMP,2010-2020,19.6
79,COMP,2020-2030,21.88
80,VETE,1950-1960,
81,VETE,1960-1970,
82,VETE,1970-1980,0
83,VETE,1980-1990,0
84,VETE,1990-2000,15.87
85,VETE,2000-2010,18.85
86,VETE,2010-2020,17.75
87,VETE,2020-2030,
88,PHYS,1950-1960,23.53
89,PHYS,1960-1970,20
90,PHYS,1970-1980,26.5
91,PHYS,1980-1990,20.4
92,PHYS,1990-2000,15.85
93,PHYS,2000-2010,20.83
94,PHYS,2010-2020,20.27
95,PHYS,2020-2030,0
96,ENER,1950-1960,50
97,ENER,1960-1970,21.43
98,ENER,1970-1980,37.5
99,ENER,1980-1990,21.43
100,ENER,1990-2000,14.13
101,ENER,2000-2010,20.5
102,ENER,2010-2020,18.93
103,ENER,2020-2030,23.08
104,PHAR,1950-1960,20
105,PHAR,1960-1970,0
106,PHAR,1970-1980,50
107,PHAR,1980-1990,24.14
108,PHAR,1990-2000,16.04
109,PHAR,2000-2010,19
110,PHAR,2010-2020,19.87
111,PHAR,2020-2030,0
112,MATE,1950-1960,
113,MATE,1960-1970,50
114,MATE,1970-1980,25
115,MATE,1980-1990,10.47
116,MATE,1990-2000,15.69
117,MATE,2000-2010,21.41
118,MATE,2010-2020,19.36
119,MATE,2020-2030,25
120,CENG,1950-1960,
121,CENG,1960-1970,28.57
122,CENG,1970-1980,24
123,CENG,1980-1990,15.38
124,CENG,1990-2000,18.09
125,CENG,2000-2010,19.13
126,CENG,2010-2020,20.4
127,CENG,2020-2030,15.79
128,EART,1950-1960,0
129,EART,1960-1970,7.14
130,EART,1970-1980,13.04
131,EART,1980-1990,18.29
132,EART,1990-2000,24.66
133,EART,2000-2010,21.57
134,EART,2010-2020,18.72
135,EART,2020-2030,20
136,ENVI,1950-1960,
137,ENVI,1960-1970,
138,ENVI,1970-1980,0
139,ENVI,1980-1990,15.79
140,ENVI,1990-2000,22.22
141,ENVI,2000-2010,20.83
142,ENVI,2010-2020,19.35
143,ENVI,2020-2030,4.55
144,BUSI,1950-1960,
145,BUSI,1960-1970,0
146,BUSI,1970-1980,100
147,BUSI,1980-1990,0
148,BUSI,1990-2000,9.68
149,BUSI,2000-2010,19.42
150,BUSI,2010-2020,20.47
151,BUSI,2020-2030,23.53
152,SOCI,1950-1960,0
153,SOCI,1960-1970,4.35
154,SOCI,1970-1980,25
155,SOCI,1980-1990,17.46
156,SOCI,1990-2000,19.47
157,SOCI,2000-2010,17.97
158,SOCI,2010-2020,18.37
159,SOCI,2020-2030,
160,MULT,1950-1960,0
161,MULT,1960-1970,9.52
162,MULT,1970-1980,14.29
163,MULT,1980-1990,20
164,MULT,1990-2000,20.65
165,MULT,2000-2010,19.14
166,MULT,2010-2020,19.06
167,MULT,2020-2030,
168,ECON,1950-1960,
169,ECON,1960-1970,12.5
170,ECON,1970-1980,
171,ECON,1980-1990,29.17
172,ECON,1990-2000,11.63
173,ECON,2000-2010,18.31
174,ECON,2010-2020,20.41
175,ECON,2020-2030,50
176,DECI,1950-1960,
177,DECI,1960-1970,50
178,DECI,1970-1980,0
179,DECI,1980-1990,50
180,DECI,1990-2000,8.33
181,DECI,2000-2010,31.37
182,DECI,2010-2020,17
183,DECI,2020-2030,
184,NURS,1950-1960,
185,NURS,1960-1970,
186,NURS,1970-1980,
187,NURS,1980-1990,
188,NURS,1990-2000,7.14
189,NURS,2000-2010,24.43
190,NURS,2010-2020,20.12
191,NURS,2020-2030,
192,HEAL,1950-1960,100
193,HEAL,1960-1970,40
194,HEAL,1970-1980,33.33
195,HEAL,1980-1990,0
196,HEAL,1990-2000,5.56
197,HEAL,2000-2010,10.11
198,HEAL,2010-2020,16.9
199,HEAL,2020-2030,
200,PSYC,1950-1960,50
201,PSYC,1960-1970,0
202,PSYC,1970-1980,50
203,PSYC,1980-1990,0
204,PSYC,1990-2000,9.09
205,PSYC,2000-2010,22.86
206,PSYC,2010-2020,21.71
207,PSYC,2020-2030,
208,undefined,1950-1960,0
209,undefined,1960-1970,12.5
210,undefined,1970-1980,27.27
211,undefined,1980-1990,13.11
212,undefined,1990-2000,32.84
213,undefined,2000-2010,
214,undefined,2010-2020,40
215,undefined,2020-2030,
216,NEUR,1950-1960,
217,NEUR,1960-1970,
218,NEUR,1970-1980,100
219,NEUR,1980-1990,0
220,NEUR,1990-2000,15.38
221,NEUR,2000-2010,20
222,NEUR,2010-2020,17.65
223,NEUR,2020-2030,
