,Subject,,Female Proportion (%),Male Proportion (%),,Year,Agriculture,Chemistry,Medicine,Engineering,Computer Science
0,AGRI,,12.5,87.5,,1950-1960,37,12,17,1,1
1,AGRI,,6.35,93.65,,1960-1970,86,58,48,12,0
2,AGRI,,9.05,90.95,,1970-1980,184,57,275,47,3
3,AGRI,,10.5,89.5,,1980-1990,286,131,348,124,10
4,AGRI,,12.17,87.83,,1990-2000,762,463,1612,250,74
5,AGRI,,12.92,87.08,,2000-2010,3393,1967,6165,1205,1922
6,AGRI,,14.29,85.71,,2010-2020,12249,4676,15483,5800,10982
7,AGRI,,3.92,96.08,,,,,,,
8,CHEM,1950-1960,11.11,88.89,,,,,,,
9,CHEM,1960-1970,14.08,85.92,,,,,,,
10,CHEM,1970-1980,12.93,87.07,,,,,,,
11,CHEM,1980-1990,12.85,87.15,,,,,,,
12,CHEM,1990-2000,10.68,89.32,,,,,,,
13,CHEM,2000-2010,11.64,88.36,,,,,,,
14,CHEM,2010-2020,14.44,85.56,,,,,,,
15,CHEM,2020-2030,13.56,86.44,,,,,,,
16,IMMU,1950-1960,0,100,,,,,,,
17,IMMU,1960-1970,4.76,95.24,,,,,,,
18,IMMU,1970-1980,5.56,94.44,,,,,,,
19,IMMU,1980-1990,9.38,90.62,,,,,,,
20,IMMU,1990-2000,8.33,91.67,,,,,,,
21,IMMU,2000-2010,15.4,84.6,,,,,,,
22,IMMU,2010-2020,13.44,86.56,,,,,,,
23,IMMU,2020-2030,,,,,,,,,
24,,1950-1960,10.53,89.47,,,,,,,
25,MEDI,1960-1970,9.73,90.27,,,,,,,
26,MEDI,1970-1980,10.03,89.97,,,,,,,
27,MEDI,1980-1990,12.22,87.78,,,,,,,
28,MEDI,1990-2000,11.54,88.46,,,,,,,
29,MEDI,2000-2010,12.86,87.14,,,,,,,
30,MEDI,2010-2020,13.71,86.29,,,,,,,
31,MEDI,2020-2030,,,,,,,,,
32,DENT,1950-1960,,,0,,,,,,
33,DENT,1960-1970,,,0,,,,,,
34,DENT,1970-1980,0,100,1,,,,,,
35,DENT,1980-1990,,,0,,,,,,
36,DENT,1990-2000,20,80,7,,,,,,
37,DENT,2000-2010,16.67,83.33,22,,,,,,
38,DENT,2010-2020,14.74,85.26,137,,,,,,
39,DENT,2020-2030,,,0,,,,,,
40,MATH,1950-1960,0,100,3,,,,,,
41,MATH,1960-1970,50,50,1,,,,,,
42,MATH,1970-1980,10.67,89.33,31,,,,,,
43,MATH,1980-1990,10.1,89.9,39,,,,,,
44,MATH,1990-2000,10.92,89.08,84,,,,,,
45,MATH,2000-2010,11.18,88.82,431,,,,,,
46,MATH,2010-2020,13.19,86.81,2420,,,,,,
47,MATH,2020-2030,21.05,78.95,5,,,,,,
48,,1950-1960,0,100,,,,,,,
49,ENGI,1960-1970,7.69,92.31,,,,,,,
50,ENGI,1970-1980,6.36,93.64,,,,,,,
51,ENGI,1980-1990,15.22,84.78,,,,,,,
52,ENGI,1990-2000,10.76,89.24,,,,,,,
53,ENGI,2000-2010,11.23,88.77,,,,,,,
54,ENGI,2010-2020,13.71,86.29,,,,,,,
55,ENGI,2020-2030,15.22,84.78,,,,,,,
56,BIOC,1950-1960,6.67,93.33,7,,,,,,
57,BIOC,1960-1970,10.61,89.39,29,,,,,,
58,BIOC,1970-1980,7.12,92.88,115,,,,,,
59,BIOC,1980-1990,9.38,90.62,156,,,,,,
60,BIOC,1990-2000,14.05,85.95,338,,,,,,
61,BIOC,2000-2010,14.05,85.95,873,,,,,,
62,BIOC,2010-2020,14.61,85.39,4660,,,,,,
63,BIOC,2020-2030,100,0,0,,,,,,
64,ARTS,1950-1960,23.08,76.92,5,,,,,,
65,ARTS,1960-1970,35.71,64.29,4,,,,,,
66,ARTS,1970-1980,19.05,80.95,7,,,,,,
67,ARTS,1980-1990,7.84,92.16,22,,,,,,
68,ARTS,1990-2000,17.76,82.24,41,,,,,,
69,ARTS,2000-2010,13.51,86.49,114,,,,,,
70,ARTS,2010-2020,13.06,86.94,782,,,,,,
71,ARTS,2020-2030,,,0,,,,,,
72,COMP,1950-1960,0,100,,,,,,,
73,COMP,1960-1970,,,,,,,,,
74,COMP,1970-1980,0,100,,,,,,,
75,,1980-1990,9.09,90.91,,,,,,,
76,COMP,1990-2000,8.42,91.58,,,,,,,
77,COMP,2000-2010,13,87,,,,,,,
78,COMP,2010-2020,13.4,86.6,,,,,,,
79,COMP,2020-2030,15.05,84.95,,,,,,,
80,VETE,1950-1960,,,0,,,,,,
81,VETE,1960-1970,,,0,,,,,,
82,VETE,1970-1980,0,100,1,,,,,,
83,VETE,1980-1990,0,100,4,,,,,,
84,VETE,1990-2000,10.64,89.36,31,,,,,,
85,VETE,2000-2010,13.28,86.72,80,,,,,,
86,VETE,2010-2020,13.3,86.7,406,,,,,,
87,VETE,2020-2030,,,0,,,,,,
88,PHYS,1950-1960,16,84,8,,,,,,
89,PHYS,1960-1970,12.65,87.35,61,,,,,,
90,PHYS,1970-1980,17.13,82.87,64,,,,,,
91,PHYS,1980-1990,12.77,87.23,120,,,,,,
92,PHYS,1990-2000,9.85,90.15,223,,,,,,
93,PHYS,2000-2010,13.81,86.19,662,,,,,,
94,PHYS,2010-2020,14.15,85.85,2602,,,,,,
95,PHYS,2020-2030,0,100,2,,,,,,
96,ENER,1950-1960,33.33,66.67,1,,,,,,
97,ENER,1960-1970,13.64,86.36,8,,,,,,
98,ENER,1970-1980,25,75,12,,,,,,
99,ENER,1980-1990,12.24,87.76,21,,,,,,
100,ENER,1990-2000,8.78,91.22,56,,,,,,
101,ENER,2000-2010,13.52,86.48,166,,,,,,
102,ENER,2010-2020,13.62,86.38,1524,,,,,,
103,ENER,2020-2030,18.75,81.25,3,,,,,,
104,PHAR,1950-1960,11.11,88.89,4,,,,,,
105,PHAR,1960-1970,0,100,1,,,,,,
106,PHAR,1970-1980,33.33,66.67,3,,,,,,
107,PHAR,1980-1990,13.86,86.14,43,,,,,,
108,PHAR,1990-2000,9.74,90.26,121,,,,,,
109,PHAR,2000-2010,12.55,87.45,330,,,,,,
110,PHAR,2010-2020,14.89,85.11,2404,,,,,,
111,PHAR,2020-2030,0,100,0,,,,,,
112,MATE,1950-1960,,,0,,,,,,
113,MATE,1960-1970,33.33,66.67,1,,,,,,
114,MATE,1970-1980,15,85,8,,,,,,
115,MATE,1980-1990,6,94,64,,,,,,
116,MATE,1990-2000,9.52,90.48,66,,,,,,
117,MATE,2000-2010,14.05,85.95,164,,,,,,
118,MATE,2010-2020,14.16,85.84,1495,,,,,,
119,MATE,2020-2030,16.67,83.33,2,,,,,,
120,CENG,1950-1960,,,0,,,,,,
121,CENG,1960-1970,18.18,81.82,4,,,,,,
122,CENG,1970-1980,14.63,85.37,16,,,,,,
123,CENG,1980-1990,8.96,91.04,28,,,,,,
124,CENG,1990-2000,11.04,88.96,120,,,,,,
125,CENG,2000-2010,12.45,87.55,283,,,,,,
126,CENG,2010-2020,14.96,85.04,2471,,,,,,
127,CENG,2020-2030,13.64,86.36,3,,,,,,
128,EART,1950-1960,0,100,6,,,,,,
129,EART,1960-1970,3.7,96.3,13,,,,,,
130,EART,1970-1980,7.32,92.68,18,,,,,,
131,EART,1980-1990,10.49,89.51,122,,,,,,
132,EART,1990-2000,15.79,84.21,82,,,,,,
133,EART,2000-2010,14.45,85.55,201,,,,,,
134,EART,2010-2020,13.52,86.48,1383,,,,,,
135,EART,2020-2030,12.5,87.5,3,,,,,,
136,ENVI,1950-1960,,,0,,,,,,
137,ENVI,1960-1970,,,0,,,,,,
138,ENVI,1970-1980,0,100,4,,,,,,
139,ENVI,1980-1990,9.23,90.77,27,,,,,,
140,ENVI,1990-2000,14.04,85.96,105,,,,,,
141,ENVI,2000-2010,13.96,86.04,272,,,,,,
142,ENVI,2010-2020,14.55,85.45,1551,,,,,,
143,ENVI,2020-2030,3.23,96.77,9,,,,,,
144,BUSI,1950-1960,,,0,,,,,,
145,BUSI,1960-1970,0,100,1,,,,,,
146,BUSI,1970-1980,100,0,0,,,,,,
147,BUSI,1980-1990,0,100,7,,,,,,
148,BUSI,1990-2000,5.66,94.34,22,,,,,,
149,BUSI,2000-2010,12.37,87.63,138,,,,,,
150,BUSI,2010-2020,14.24,85.76,2015,,,,,,
151,BUSI,2020-2030,19.05,80.95,4,,,,,,
152,SOCI,1950-1960,0,100,4,,,,,,
153,SOCI,1960-1970,2.38,97.62,19,,,,,,
154,SOCI,1970-1980,14.81,85.19,11,,,,,,
155,SOCI,1980-1990,9.73,90.27,50,,,,,,
156,SOCI,1990-2000,11.28,88.72,138,,,,,,
157,SOCI,2000-2010,11.16,88.84,719,,,,,,
158,SOCI,2010-2020,12.17,87.83,1230,,,,,,
159,SOCI,2020-2030,,,0,,,,,,
160,MULT,1950-1960,0,100,13,,,,,,
161,MULT,1960-1970,5.13,94.87,18,,,,,,
162,MULT,1970-1980,8.33,91.67,5,,,,,,
163,MULT,1980-1990,11.43,88.57,45,,,,,,
164,MULT,1990-2000,12.66,87.34,156,,,,,,
165,MULT,2000-2010,12.02,87.98,427,,,,,,
166,MULT,2010-2020,13.49,86.51,1478,,,,,,
167,MULT,2020-2030,,,0,,,,,,
168,ECON,1950-1960,,,0,,,,,,
169,ECON,1960-1970,6.67,93.33,7,,,,,,
170,ECON,1970-1980,,,0,,,,,,
171,ECON,1980-1990,18.42,81.58,14,,,,,,
172,ECON,1990-2000,7.35,92.65,25,,,,,,
173,ECON,2000-2010,11.26,88.74,89,,,,,,
174,ECON,2010-2020,14.29,85.71,583,,,,,,
175,ECON,2020-2030,50,50,0,,,,,,
176,DECI,1950-1960,,,0,,,,,,
177,DECI,1960-1970,33.33,66.67,1,,,,,,
178,DECI,1970-1980,0,100,1,,,,,,
179,DECI,1980-1990,33.33,66.67,1,,,,,,
180,DECI,1990-2000,5.26,94.74,7,,,,,,
181,DECI,2000-2010,21.05,78.95,25,,,,,,
182,DECI,2010-2020,11.61,88.39,298,,,,,,
183,DECI,2020-2030,,,0,,,,,,
184,NURS,1950-1960,,,0,,,,,,
185,NURS,1960-1970,,,0,,,,,,
186,NURS,1970-1980,,,0,,,,,,
187,NURS,1980-1990,,,0,,,,,,
188,NURS,1990-2000,4.35,95.65,9,,,,,,
189,NURS,2000-2010,15.61,84.39,74,,,,,,
190,NURS,2010-2020,12.66,87.34,790,,,,,,
191,NURS,2020-2030,,,0,,,,,,
192,HEAL,1950-1960,100,0,0,,,,,,
193,HEAL,1960-1970,33.33,66.67,1,,,,,,
194,HEAL,1970-1980,25,75,1,,,,,,
195,HEAL,1980-1990,0,100,2,,,,,,
196,HEAL,1990-2000,3.03,96.97,15,,,,,,
197,HEAL,2000-2010,6.72,93.28,45,,,,,,
198,HEAL,2010-2020,12.52,87.48,203,,,,,,
199,HEAL,2020-2030,,,0,,,,,,
200,PSYC,1950-1960,33.33,66.67,1,,,,,,
201,PSYC,1960-1970,0,100,5,,,,,,
202,PSYC,1970-1980,33.33,66.67,1,,,,,,
203,PSYC,1980-1990,0,100,2,,,,,,
204,PSYC,1990-2000,5.26,94.74,8,,,,,,
205,PSYC,2000-2010,15.38,84.62,17,,,,,,
206,PSYC,2010-2020,14.56,85.44,258,,,,,,
207,PSYC,2020-2030,,,0,,,,,,
208,undefined,1950-1960,0,100,1,,,,,,
209,undefined,1960-1970,6.67,93.33,14,,,,,,
210,undefined,1970-1980,17.65,82.35,6,,,,,,
211,undefined,1980-1990,8.99,91.01,28,,,,,,
212,undefined,1990-2000,24.18,75.82,24,,,,,,
213,undefined,2000-2010,,,0,,,,,,
214,undefined,2010-2020,28.57,71.43,2,,,,,,
215,undefined,2020-2030,,,0,,,,,,
216,NEUR,1950-1960,,,0,,,,,,
217,NEUR,1960-1970,,,0,,,,,,
218,NEUR,1970-1980,100,0,0,,,,,,
219,NEUR,1980-1990,0,100,1,,,,,,
220,NEUR,1990-2000,10,90,7,,,,,,
221,NEUR,2000-2010,13.68,86.32,30,,,,,,
222,NEUR,2010-2020,13.22,86.78,74,,,,,,
223,NEUR,2020-2030,,,0,,,,,,
